RIL,Resistance,Cu_H,C_H,Cu_M,C_M
21006,R,197.7,167.6,53.4,57.6
21012,R,216.5,178.5,64,70.6
21026,R,494.8,341.9,80,104
21027,R,,,,
21037,R,297.9,145.5,171.6,179
21042,R,271.6,278.3,124.4,162.1
21048,R,144.4,243.4,86.9,77
21050,R,122,189.4,121.5,128.4
21060,R,264.8,163.1,103.1,91.5
21064,R,354.3,280.1,98.8,105.3
21074,R,209.3,146.7,117.5,91
21099,R,,,,
21111,R,348.1,343.3,,
21132,R,75.2,208.4,133.3,120.7
21138,R,235.2,211.8,104.9,99.3
21148,R,189.5,215.2,51.2,62.7
21173,R,251.7,287.5,70.6,83.3
21180,R,314.1,277.6,68.6,108.1
21207,R,42.3,92.3,109.5,76.7
21225,R,255.1,193.6,83.6,112.6
21226,R,279,169.8,107.4,151.7
21230,R,331.7,268.1,134.5,116.8
21232,R,259.9,319.9,94.2,97.8
21249,R,289.6,251.6,127.6,88.1
21254,R,249.7,224.1,,
21292,R,137.3,150.8,120.3,121.5
21306,R,232,194.3,82.6,97.8
21310,R,144.1,119.4,109,101.5
21352,R,188.1,189.4,122.3,91.8
21358,R,,,87.5,89.2
21363,R,269.5,217.4,113.6,130.2
21378,R,262,242,113.7,126.8
21388,R,327.1,226.2,78,88.8
21391,R,425.6,348.7,126.1,125
22014,R,60.3,111,97.3,113.7
22020,R,52.9,179.2,90.7,103.7
22042,R,149.6,230.2,69.7,85.8
22046,R,144,172.7,102.3,128.5
22049,R,326.8,270.6,113.1,90.1
22063,R,,,,
22068,R,,,,
22098,R,270,365.5,73.5,110.6
22120,R,292.9,174.6,154.7,117.3
22139,R,329.8,310.8,,
22169,R,243.5,273.5,86.6,72.9
22196,R,282.1,209,,
22204,R,208,244.2,138.9,106
22295,R,395,358.2,99.6,120
22307,R,140.9,219.1,99.4,126
22328,R,65.4,233.4,79.4,92
22374,R,183.9,143.4,50,99.2
22376,R,315.6,306.4,136.8,128
22378,R,97.9,188.5,110,132
22384,R,329.5,298,109.5,131.3
22392,R,332.5,308.1,202.4,155.7
22402,R,338.3,362.7,141,123.7
22415,R,255.4,271.7,106.8,89.9
22425,R,323,261.5,97.7,104.1
22458,R,244.5,175.5,77.2,87
22460,R,,,,
21005,S,197.1,170.5,103.7,101.6
21068,S,172.8,276.6,81.2,89.4
21071,S,,,,
21089,S,162,105.9,115.3,106.9
21090,S,143.8,206,86.4,198.9
21097,S,168.2,212.7,82.9,75.8
21105,S,,,,
21126,S,231.1,315.8,116.7,131.6
21134,S,,,,
21154,S,239.2,175.8,95.3,104.6
21187,S,409.2,284.4,81,91.7
21221,S,204.7,236.9,68.4,87.2
21222,S,337.8,328.5,53.4,64.4
21236,S,129.1,162.9,117.2,144.1
21242,S,101.8,120.7,72.2,134.2
21271,S,177.6,228.9,104.8,87
21281,S,405.5,464.8,85.4,76.2
21309,S,116.1,113.3,85.3,94.3
21321,S,185.6,190.2,136,152
21325,S,365.6,305.6,109.1,105.5
21333,S,124.2,194.1,91.4,84
21337,S,153.2,93.5,104.8,140.4
21342,S,259.2,299.2,79.8,80.5
21359,S,196.1,290,99.1,117.3
21385,S,,,114,105
22011,S,430.2,212.4,100.9,95
22015,S,407.2,333.8,124.8,124
22024,S,,,,
22036,S,424.6,417.6,70.6,91
22069,S,288,240.9,72.5,81.9
22071,S,49.5,43.4,93.3,51.2
22081,S,116.3,95.8,141.1,152.9
22088,S,232.9,246.8,86.3,75.8
22099,S,462.8,382.4,120.7,141
22107,S,364,213.4,86.1,94.4
22109,S,295.4,259,86.9,89.2
22110,S,442.5,369.8,133.3,79.3
22121,S,249.6,244.2,97.9,123.9
22133,S,,,99.6,100.9
22137,S,43.2,166.1,,
22140,S,80,108.2,,
22162,S,329.4,225.3,79.9,67.3
22175,S,143,186,82.1,91.4
22176,S,365,347.8,123.5,97.8
22255,S,344.8,230.7,102.1,123.3
22273,S,337.1,211.6,86.5,114.3
22291,S,,,,
22318,S,70.4,99.9,118.7,95
22325,S,177.3,93.5,80.8,64
22345,S,,,90.6,97.8
22360,S,203,180.4,112.1,192
22369,S,286,277.6,84,79.3
22371,S,455.5,167.3,128,144
22400,S,254.2,253.8,100,98.6
22410,S,153.6,125.6,72.4,65.9
22416,S,283.4,277.6,87.1,68.6
22436,S,170,259,123.4,102.3
22447,S,,,,
22465,S,280.1,305.7,131,123.5
22468,S,324.6,413.5,93.1,106.2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
